asset_id,category,support_name,isin,currency,source_date,enabled
ALTAPROFITS:FONDS-EN-EURO-EUROSSIMA,Fonds en euros,FONDS EN EURO EUROSSIMA,,,2026-09-08,true
ALTAPROFITS:FONDS-EN-EURO-NETISSIMA,Fonds en euros,FONDS EN EURO NETISSIMA,,,2026-09-08,true
ALTAPROFITS:FONDS-CROISSANCE-GENERATIONS-CROISS-NCE-DURABLE,Croissance,Fonds croissance Générations Croiss@nce durable,,EUR,2026-09-08,true
LU1598757687,Actions,ARCELORMITTAL,LU1598757687,EUR,2026-09-08,true
NL0010273215,Actions,ASML HOLDING N.V.,NL0010273215,EUR,2026-09-08,true
NL0000235190,Actions,AIRBUS SE,NL0000235190,EUR,2026-09-08,true
FR0000120404,Actions,ACCOR,FR0000120404,EUR,2026-09-08,true
BE0974293251,Actions,ANHEUSER-BUSCH INBEV SA/NV,BE0974293251,EUR,2026-09-08,true
FR0010340141,Actions,AÉROPORTS DE PARIS,FR0010340141,EUR,2026-09-08,true
NL0011794037,Actions,AHOLD DELHAIZE N.V.,NL0011794037,EUR,2026-09-08,true
FR0010313833,Actions,ARKEMA,FR0010313833,EUR,2026-09-08,true
DE000A1EWWW0,Actions,ADIDAS AG,DE000A1EWWW0,EUR,2026-09-08,true
FR0010220475,Actions,ALSTOM,FR0010220475,EUR,2026-09-08,true
NL0012969182,Actions,ADYEN N.V.,NL0012969182,EUR,2026-09-08,true
FR0012333284,Actions,ABIVAX,FR0012333284,EUR,2026-09-08,true
FR001400J770,Actions,AIR FRANCE-KLM,FR001400J770,EUR,2026-09-08,true
NL0010832176,Actions,ARGENX SE,NL0010832176,EUR,2026-09-08,true
ES0113211835,Actions,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",ES0113211835,EUR,2026-09-08,true
ES0113900J37,Actions,"BANCO SANTANDER, S.A.",ES0113900J37,EUR,2026-09-08,true
FR0000131104,Actions,BNP PARIBAS,FR0000131104,EUR,2026-09-08,true
FR0000120503,Actions,BOUYGUES SA,FR0000120503,EUR,2026-09-08,true
DE000BAY0017,Actions,BAYER AG,DE000BAY0017,EUR,2026-09-08,true
FR0006174348,Actions,BUREAU VERITAS SA,FR0006174348,EUR,2026-09-08,true
DE000BASF111,Actions,BASF SE,DE000BASF111,EUR,2026-09-08,true
DE0005190003,Actions,BAYERISCHE MOTOREN WERKE AG,DE0005190003,EUR,2026-09-08,true
FR0013280286,Actions,BIOMÉRIEUX,FR0013280286,EUR,2026-09-08,true
FR0000045072,Actions,CRÉDIT AGRICOLE S.A.,FR0000045072,EUR,2026-09-08,true
FR0000125007,Actions,COMPAGNIE DE SAINT-GOBAIN,FR0000125007,EUR,2026-09-08,true
FR0000120172,Actions,CARREFOUR,FR0000120172,EUR,2026-09-08,true
FR001400AJ45,Actions,COMPAGNIE GÉNÉRALE DES ETABLISSEMENTS MICHELIN,FR001400AJ45,EUR,2026-09-08,true
FR0000125338,Actions,CAPGEMINI SE,FR0000125338,EUR,2026-09-08,true
DE0005140008,Actions,DEUTSCHE BANK AG,DE0005140008,EUR,2026-09-08,true
FR0014004L86,Actions,DASSAULT AVIATION,FR0014004L86,EUR,2026-09-08,true
DE0005810055,Actions,DEUTSCHE BÖRSE AG,DE0005810055,EUR,2026-09-08,true
DE0005557508,Actions,DEUTSCHE TELEKOM AG,DE0005557508,EUR,2026-09-08,true
FR0000120644,Actions,DANONE,FR0000120644,EUR,2026-09-08,true
DE0005552004,Actions,DHL GROUP AG,DE0005552004,EUR,2026-09-08,true
FR0014003TT8,Actions,DASSAULT SYSTÈMES SE,FR0014003TT8,EUR,2026-09-08,true
DE000DTR0CK8,Actions,DAIMLER TRUCK HLDG,DE000DTR0CK8,EUR,2026-09-08,true
IT0003132476,Actions,ENI S.P.A.,IT0003132476,EUR,2026-09-08,true
FR0010208488,Actions,ENGIE,FR0010208488,EUR,2026-09-08,true
NL0006294274,Actions,EURONEXT N.V.,NL0006294274,EUR,2026-09-08,true
FR0012435121,Actions,ELIS,FR0012435121,EUR,2026-09-08,true
FR0000130452,Actions,EIFFAGE S.A.,FR0000130452,EUR,2026-09-08,true
IT0003128367,Actions,ENEL S.P.A.,IT0003128367,EUR,2026-09-08,true
FR0000121667,Actions,ESSILORLUXOTTICA,FR0000121667,EUR,2026-09-08,true
FR0010908533,Actions,EDENRED SE,FR0010908533,EUR,2026-09-08,true
FR0014000MR3,Actions,EUROFINS SCIENTIFIC SE,FR0014000MR3,EUR,2026-09-08,true
FR0011950732,Actions,ELIOR GROUP,FR0011950732,EUR,2026-09-08,true
FR0010221234,Actions,EUTELSAT COMMUNICATIONS,FR0010221234,EUR,2026-09-08,true
FR0000121147,Actions,FORVIA SE,FR0000121147,EUR,2026-09-08,true
FR0011726835,Actions,GAZTRANSPORT & TECHNIGAZ,FR0011726835,EUR,2026-09-08,true
FR0010533075,Actions,GETLINK SE,FR0010533075,EUR,2026-09-08,true
